manufacturer,model_name,category,screen_size,screen,ram,storage,operating_system,operating_system_version,weight,price,cpu_brand,cpu_speed,cpu_name,gpu_brand,gpu_name,screen_type
Vero,V142 (X5-Z8350/2GB/32GB/W10),Notebook,"14.0""",1366x768,2GB,32GB Flash Storage,Windows,10,1.45,210.8,Intel,1.44,Atom X5-Z8350 ,Intel,HD Graphics 400,Not Touchscreen
Dell,Inspiron 3552,Notebook,"15.6""",1366x768,2GB,500GB HDD,Windows,10,2.2,379.0,Intel,1.6,Celeron Dual Core N3050 ,Intel,HD Graphics,Not Touchscreen
HP,Stream 11-Y000na,Netbook,"11.6""",1366x768,2GB,32GB Flash Storage,Windows,10,1.17,209.0,Intel,1.6,Celeron Dual Core N3060 ,Intel,HD Graphics 400,Not Touchscreen
Asus,L502NA-GO052T (N3350/4GB/128GB/W10),Notebook,"15.6""",1366x768,4GB,128GB SSD,Windows,10,1.86,419.0,Intel,1.1,Celeron Dual Core N3350 ,Intel,HD Graphics 500,Not Touchscreen
Lenovo,IdeaPad 100S-14IBR,Notebook,"14.0""",1366x768,4GB,32GB Flash Storage,Windows,10,1.43,274.0,Intel,1.6,Celeron Dual Core N3060 ,Intel,HD Graphics,Not Touchscreen
Lenovo,Ideapad 320-15IAP,Notebook,"15.6""",1366x768,4GB,500GB HDD,Windows,10,2.2,419.0,Intel,1.1,Celeron Dual Core N3350 ,Intel,HD Graphics 500,Not Touchscreen
Lenovo,IdeaPad 320-15ISK,Notebook,"15.6""",Full HD 1920x1080,4GB,500GB HDD,Windows,10,2.2,535.0,Intel,2.3,Core i5 6200U ,Intel,HD Graphics 520,Not Touchscreen
Toshiba,Satellite Pro,Notebook,"15.6""",1366x768,4GB,128GB SSD,Windows,10,2.1,498.0,Intel,2.1,Core i3 6100U ,Intel,HD Graphics 520,Not Touchscreen
HP,250 G6,Notebook,"15.6""",1366x768,4GB,500GB HDD,Windows,10,1.86,612.61,Intel,2.5,Core i5 7200U ,AMD,Radeon 520,Not Touchscreen
HP,Pavilion X360,2 in 1 Convertible,"14.0""",IPS Panel Full HD / Touchscreen 1920x1080,4GB,128GB SSD,Windows,10,1.63,699.0,Intel,2.4,Core i3 7100U ,Nvidia,GeForce 940MX,Touchscreen
Lenovo,IdeaPad 320-15AST,Notebook,"15.6""",1366x768,4GB,128GB SSD,Windows,10,2.2,349.0,AMD,2.2,E-Series E2-9000 ,AMD,Radeon R2 Graphics,Not Touchscreen
Dell,Inspiron 3179,2 in 1 Convertible,"11.6""",Touchscreen 1366x768,4GB,128GB SSD,Windows,10,1.39,603.0,Intel,1.0,Core M 7Y30 ,Intel,HD Graphics 615,Touchscreen
HP,ProBook 450,Notebook,"15.6""",1366x768,4GB,500GB HDD,Windows,10,2.1,668.48,Intel,2.4,Core i3 7100U ,Intel,HD Graphics 620,Not Touchscreen
Acer,Aspire 1,Notebook,"14.0""",Full HD 1920x1080,4GB,32GB Flash Storage,Windows,10,1.6,329.0,Intel,1.1,Celeron Quad Core N3450 ,Intel,HD Graphics 500,Not Touchscreen
Acer,Swift SF114-31-P5HY,Notebook,"14.0""",1366x768,4GB,128GB Flash Storage,Windows,10,1.6,349.0,Intel,1.6,Pentium Quad Core N3710 ,Intel,HD Graphics 405,Not Touchscreen
Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,4GB,1TB HDD,Windows,10,2.2,776.0,Intel,1.6,Core i5 8250U ,AMD,Radeon 530,Not Touchscreen
HP,EliteBook 850,Notebook,"15.6""",1366x768,4GB,500GB HDD,Windows,7,1.88,932.0,Intel,2.3,Core i5 6200U ,Intel,HD Graphics 520,Not Touchscreen
Lenovo,V110-15ISK (3855U/4GB/500GB/W10),Notebook,"15.6""",1366x768,4GB,500GB HDD,Windows,10,2.1,318.0,Intel,1.6,Celeron Dual Core 3855U ,Intel,HD Graphics 510,Not Touchscreen
Lenovo,V330-15IKB (i5-8250U/4GB/256GB/FHD/W10),Notebook,"15.6""",Full HD 1920x1080,4GB,256GB SSD,Windows,10,1.8,829.0,Intel,1.6,Core i5 8250U ,Intel,UHD Graphics 620,Not Touchscreen
Lenovo,V310-15IKB (i5-7200U/4GB/1TB/FHD/W10),Notebook,"15.6""",Full HD 1920x1080,4GB,1TB HDD +  1TB HDD,Windows,10,2.1,621.45,Intel,2.5,Core i5 7200U ,Intel,HD Graphics 620,Not Touchscreen
Acer,TravelMate B117-M,Netbook,"11.6""",1366x768,4GB,32GB Flash Storage,Windows,10,1.4,269.0,Intel,1.6,Celeron Dual Core N3050 ,Intel,HD Graphics,Not Touchscreen
Acer,Aspire 3,Notebook,"15.6""",1366x768,4GB,256GB SSD,Windows,10,2.1,599.0,Intel,2.5,Core i5 7200U ,Intel,HD Graphics 620,Not Touchscreen
Acer,TravelMate P238-M,Notebook,"13.3""",1366x768,4GB,128GB SSD,Windows,10,1.6,655.0,Intel,2.3,Core i5 6200U ,Intel,HD Graphics 520,Not Touchscreen
Asus,X751NV-TY001 (N4200/4GB/1TB/GeForce,Notebook,"17.3""",1366x768,4GB,1TB HDD,Windows,10,2.8,470.34,Intel,1.1,Pentium Quad Core N4200 ,Nvidia,GeForce 920MX,Not Touchscreen
Toshiba,Tecra A40-C-1E5,Notebook,"14.0""",IPS Panel 1366x768,4GB,128GB SSD,Windows,10,1.75,1020.0,Intel,2.3,Core i5 6200U ,Intel,HD Graphics 520,Not Touchscreen
Asus,Pro P2540UA-XO0192R,Notebook,"15.6""",1366x768,4GB,256GB SSD,Windows,10,2.37,849.9,Intel,2.7,Core i7 7500U ,Intel,HD Graphics 620,Not Touchscreen
HP,EliteBook 820,Ultrabook,"12.5""",1366x768,4GB,256GB SSD,Windows,10,1.26,1244.0,Intel,2.3,Core i5 6200U ,Intel,HD Graphics 520,Not Touchscreen
Lenovo,Legion Y520-15IKBN,Gaming,"15.6""",IPS Panel Full HD 1920x1080,4GB,1TB HDD,Windows,10,2.4,999.0,Intel,2.8,Core i7 7700HQ ,Nvidia,GeForce GTX 1050,Not Touchscreen
Vero,K146 (N3350/4GB/32GB/W10),Notebook,"14.0""",1920x1080,4GB,32GB Flash Storage,Windows,10,1.22,202.9,Intel,1.1,Celeron Dual Core N3350 ,Intel,HD Graphics 500,Not Touchscreen
Asus,R417NA-RS01 (N3350/4GB/32GB/W10),Notebook,"14.0""",1366x768,4GB,32GB Flash Storage,Windows,10,1.63,299.0,Intel,1.1,Celeron Dual Core N3350 ,Intel,HD Graphics 500,Not Touchscreen
Dell,Latitude 3180,Netbook,"11.6""",1366x768,4GB,128GB SSD,Windows,10,1.63,744.0,Intel,1.1,Pentium Quad Core N4200 ,Intel,HD Graphics 505,Not Touchscreen
Toshiba,Satellite Pro,Notebook,"15.6""",1366x768,4GB,500GB HDD,Windows,10,2.1,780.0,Intel,2.3,Core i5 6200U ,Intel,HD Graphics 520,Not Touchscreen
Lenovo,IdeaPad 310-15IKB,Notebook,"15.6""",Full HD 1920x1080,4GB,1TB HDD,Windows,10,2.4,609.0,Intel,2.5,Core i5 7200U ,Nvidia,GeForce 920M,Not Touchscreen
Acer,Swift 3,Notebook,"14.0""",IPS Panel Full HD 1920x1080,4GB,128GB SSD,Windows,10,1.8,636.0,Intel,2.4,Core i3 7100U ,Intel,HD Graphics 620,Not Touchscreen
Lenovo,IdeaPad 520s-14IKB,Notebook,"14.0""",Full HD 1920x1080,4GB,256GB SSD,Windows,10,1.7,699.0,Intel,2.5,Core i5 7200U ,Intel,HD Graphics 620,Not Touchscreen
Lenovo,Thinkpad T460,Ultrabook,"14.0""",Full HD 1920x1080,4GB,1GB SSD,Windows,10,1.7,1096.0,Intel,2.3,Core i5 6200U ,Intel,HD Graphics 520,Not Touchscreen
Lenovo,N23 (N3060/4GB/128GB/W10),Netbook,"11.6""",Touchscreen 1366x768,4GB,128GB SSD,Windows,10,1.4,475.0,Intel,1.6,Celeron Dual Core N3060 ,Intel,HD Graphics 400,Touchscreen
HP,15-bs011nv (i7-7500U/4GB/500GB/Radeon,Notebook,"15.6""",IPS Panel Full HD 1920x1080,4GB,500GB HDD,Windows,10,2.1,689.0,Intel,2.7,Core i7 7500U ,AMD,Radeon 530,Not Touchscreen
Lenovo,IdeaPad 320-15AST,Notebook,"15.6""",Full HD 1920x1080,4GB,256GB SSD,Windows,10,2.2,399.0,AMD,2.9,A9-Series 9420 ,AMD,Radeon 530,Not Touchscreen
Asus,VivoBook E403NA,Notebook,"14.0""",Full HD 1920x1080,4GB,32GB Flash Storage,Windows,10,1.5,298.0,Intel,1.1,Celeron Dual Core N3350 ,Intel,HD Graphics 500,Not Touchscreen
Dell,Inspiron 5378,2 in 1 Convertible,"13.3""",Full HD / Touchscreen 1920x1080,4GB,1TB HDD,Windows,10,1.71,649.0,Intel,2.4,Core i3 7100U ,Intel,HD Graphics 620,Touchscreen
Acer,Extensa EX2540-58KR,Notebook,"15.6""",1366x768,4GB,500GB HDD,Windows,10,2.4,559.0,Intel,2.5,Core i5 7200U ,Intel,HD Graphics 620,Not Touchscreen
Lenovo,V310-15IKB (i7-7500U/4GB/1TB/FHD/W10),Notebook,"15.6""",Full HD 1920x1080,4GB,1TB HDD,Windows,10,1.85,779.0,Intel,2.7,Core i7 7500U ,Intel,HD Graphics 620,Not Touchscreen
Mediacom,Smartbook 142,Notebook,"14.0""",IPS Panel Full HD 1920x1200,4GB,32GB HDD,Windows,10,1.4,265.0,Intel,1.92,Atom Z8350 ,Intel,HD Graphics 400,Not Touchscreen
HP,ProBook 430,Notebook,"13.3""",Full HD 1920x1080,4GB,128GB SSD,Windows,10,1.49,719.0,Intel,2.4,Core i3 7100U ,Intel,HD Graphics 620,Not Touchscreen
Dell,Latitude 5580,Notebook,"15.6""",1366x768,4GB,500GB HDD,Windows,10,1.93,959.0,Intel,2.6,Core i5 7300U ,Intel,HD Graphics 620,Not Touchscreen
Mediacom,SmartBook 141,Notebook,"14.0""",Full HD 1920x1080,4GB,32GB SSD,Windows,10,1.4,249.0,Intel,1.44,Atom x5-Z8350 ,Intel,HD Graphics,Not Touchscreen
Lenovo,IdeaPad 320-15IAP,Notebook,"15.6""",1366x768,4GB,1TB HDD,Windows,10,2.2,306.0,Intel,1.1,Celeron Dual Core N3350 ,Intel,HD Graphics 500,Not Touchscreen
Lenovo,Ideapad 510S-13IKB,Notebook,"13.3""",IPS Panel Full HD 1920x1080,4GB,128GB SSD,Windows,10,1.5,549.0,Intel,2.4,Core i3 7100U ,Intel,HD Graphics 620,Not Touchscreen
Mediacom,FlexBook Edge,2 in 1 Convertible,"11.6""",IPS Panel Full HD / Touchscreen 1920x1080,4GB,32GB SSD,Windows,10,1.16,299.0,Intel,1.1,Celeron Dual Core N3350 ,Intel,HD Graphics 500,Touchscreen
Lenovo,IdeaPad 320s-14IKB,Notebook,"14.0""",IPS Panel Full HD 1920x1080,4GB,128GB SSD,Windows,10,1.7,599.0,Intel,2.7,Core i3 7130U ,Intel,HD Graphics 620,Not Touchscreen
HP,15-ra044nv (N3060/4GB/500GB/W10),Notebook,"15.6""",1366x768,4GB,500GB HDD,Windows,10,2.1,347.0,Intel,1.6,Celeron Dual Core N3060 ,Intel,HD Graphics 400,Not Touchscreen
Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,4GB,256GB SSD,Windows,10,2.2,749.0,Intel,1.6,Core i5 8250U ,AMD,Radeon 530,Not Touchscreen
Lenovo,IdeaPad 320-15IAP,Notebook,"15.6""",Full HD 1920x1080,4GB,128GB SSD,Windows,10,2.2,349.0,Intel,1.1,Pentium Quad Core N4200 ,Intel,HD Graphics 505,Not Touchscreen
Dell,Inspiron 3168,2 in 1 Convertible,"11.6""",Touchscreen 1366x768,4GB,500GB HDD,Windows,10,1.47,479.0,Intel,1.6,Pentium Quad Core N3710 ,Intel,HD Graphics 405,Touchscreen
Dell,Inspiron 3552,Notebook,"15.6""",1366x768,4GB,500GB HDD,Windows,10,1.8,309.0,Intel,1.6,Celeron Dual Core N3060 ,Intel,HD Graphics 400,Not Touchscreen
Acer,TravelMate B,Notebook,"11.6""",1366x768,4GB,128GB Flash Storage,Windows,10,1.4,485.0,Intel,1.6,Pentium Quad Core N3710 ,Intel,HD Graphics 405,Not Touchscreen
Lenovo,IdeaPad 320-17IKB,Notebook,"17.3""",1600x900,4GB,1TB HDD,Windows,10,2.79,589.0,Intel,2.5,Core i5 7200U ,Nvidia,GeForce 920MX,Not Touchscreen
Lenovo,IdeaPad 120S-14IAP,Notebook,"14.0""",1366x768,4GB,32GB Flash Storage,Windows,10,1.44,292.0,Intel,1.1,Celeron Dual Core N3350 ,Intel,HD Graphics 500,Not Touchscreen
Asus,VivoBook E403NA,Notebook,"14.0""",1366x768,4GB,32GB Flash Storage,Windows,10,1.5,286.0,Intel,1.1,Celeron Dual Core N3350 ,Intel,HD Graphics 500,Not Touchscreen
Lenovo,IdeaPad 110-17ACL,Notebook,"17.3""",1600x900,4GB,128GB SSD,Windows,10,2.6,489.0,AMD,2.2,A8-Series 7410 ,AMD,Radeon R5,Not Touchscreen
Lenovo,Yoga 11e,Netbook,"11.6""",IPS Panel 1366x768,4GB,128GB SSD,Windows,10,1.59,553.0,Intel,1.1,Celeron Quad Core N3450 ,Intel,HD Graphics 500,Not Touchscreen
Asus,VivoBook Flip,2 in 1 Convertible,"11.6""",Touchscreen 1366x768,4GB,32GB Flash Storage,Windows,10,1.5,375.0,Intel,1.1,Celeron Dual Core N3350 ,Intel,HD Graphics 500,Touchscreen
Microsoft,Surface Laptop,Ultrabook,"13.5""",Touchscreen 2256x1504,4GB,128GB SSD,Windows,10 S,1.252,989.0,Intel,2.2,Core M m3-7Y30 ,Intel,HD Graphics 615,Touchscreen
Acer,TravelMate B,Netbook,"11.6""",1366x768,4GB,128GB SSD,Windows,10,1.4,435.0,Intel,1.6,Celeron Dual Core N3060 ,Intel,HD Graphics 400,Not Touchscreen
HP,ProBook 450,Notebook,"15.6""",Full HD 1920x1080,4GB,128GB SSD,Windows,10,2.1,705.5,Intel,2.4,Core i3 7100U ,Intel,HD Graphics 620,Not Touchscreen
Lenovo,ThinkPad E470,Notebook,"14.0""",Full HD 1920x1080,4GB,500GB HDD,Windows,10,1.87,785.0,Intel,2.5,Core i5 7200U ,Intel,HD Graphics 620,Not Touchscreen
Asus,VivoBook X540YA-XX519T,Notebook,"15.6""",1366x768,4GB,500GB HDD,Windows,10,2.0,349.0,AMD,1.8,E-Series 7110 ,AMD,Radeon R2 Graphics,Not Touchscreen
Mediacom,SmartBook 130,Notebook,"13.3""",IPS Panel Full HD 1920x1080,4GB,32GB Flash Storage,Windows,10,1.35,255.0,Intel,1.44,Atom x5-Z8350 ,Intel,HD Graphics,Not Touchscreen
Acer,Spin SP111-31,2 in 1 Convertible,"11.6""",IPS Panel Full HD / Touchscreen 1920x1080,4GB,32GB Flash Storage,Windows,10,1.25,349.0,Intel,2.0,Celeron Dual Core N3350 ,Intel,HD Graphics 500,Touchscreen
Lenovo,V330-15IKB (i3-7130U/4GB/128GB/FHD/W10),Notebook,"15.6""",Full HD 1920x1080,4GB,128GB SSD,Windows,10,2.05,630.0,Intel,2.7,Core i3 7130U ,Intel,HD Graphics 620,Not Touchscreen
Lenovo,IdeaPad 320-15IAP,Notebook,"15.6""",Full HD 1920x1080,4GB,500GB HDD,Windows,10,2.2,344.0,Intel,1.1,Pentium Quad Core N4200 ,Intel,HD Graphics 505,Not Touchscreen
Lenovo,ThinkPad L470,Notebook,"14.0""",1366x768,4GB,500GB HDD,Windows,10,2.02,990.0,Intel,2.5,Core i5 7200U ,Intel,HD Graphics 620,Not Touchscreen
Lenovo,V330-15IKB (i5-8250U/4GB/500GB/FHD/W10),Notebook,"15.6""",Full HD 1920x1080,4GB,500GB HDD,Windows,10,2.05,685.0,Intel,1.6,Core i5 8250U ,Intel,HD Graphics 620,Not Touchscreen
HP,250 G6,Notebook,"15.6""",Full HD 1920x1080,4GB,256GB SSD,Windows,10,1.86,398.99,Intel,1.6,Pentium Quad Core N3710 ,Intel,HD Graphics 405,Not Touchscreen
Mediacom,SmartBook Edge,Notebook,"13.3""",IPS Panel Full HD 1920x1080,4GB,32GB SSD,Windows,10,1.2,369.0,Intel,1.1,Celeron Quad Core N3450 ,Intel,HD Graphics 500,Not Touchscreen
Asus,X541NA-PD1003Y (N4200/4GB/500GB/W10),Notebook,"15.6""",1366x768,4GB,500GB HDD,Windows,10,2.0,304.0,Intel,1.1,Pentium Quad Core N4200 ,Intel,HD Graphics 500,Not Touchscreen
Dell,Vostro 3568,Notebook,"15.6""",1366x768,4GB,1TB HDD,Windows,10,2.18,586.6,Intel,2.4,Core i3 7100U ,Intel,HD Graphics 620,Not Touchscreen
HP,ProBook 430,Notebook,"13.3""",IPS Panel Full HD 1920x1080,4GB,128GB SSD,Windows,10,1.49,726.0,Intel,1.6,Core i5 8250U ,Intel,UHD Graphics 620,Not Touchscreen
Chuwi,"Lapbook 15,6",Notebook,"15.6""",Full HD 1920x1080,4GB,64GB Flash Storage,Windows,10,1.89,248.9,Intel,1.44,Atom x5-Z8350 ,Intel,HD Graphics,Not Touchscreen
Lenovo,ThinkPad E570,Notebook,"15.6""",1366x768,4GB,128GB SSD,Windows,10,2.3,565.0,Intel,2.0,Core i3 6006U ,Intel,HD Graphics 520,Not Touchscreen
Asus,VivoBook E201NA,Netbook,"11.6""",1366x768,4GB,64GB Flash Storage,Windows,10 S,1.2,340.0,Intel,1.1,Celeron Dual Core N3350 ,Intel,HD Graphics 500,Not Touchscreen
Lenovo,IdeaPad 320-14IAP,Notebook,"14.0""",1366x768,4GB,500GB HDD,Windows,10,2.1,299.0,Intel,1.1,Celeron Dual Core N3350 ,Intel,HD Graphics 500,Not Touchscreen
Acer,Aspire A515-51G-59QF,Notebook,"15.6""",IPS Panel Full HD 1920x1080,4GB,1TB HDD,Windows,10,2.2,613.0,Intel,1.6,Core i5 8250U ,Nvidia,GeForce MX150,Not Touchscreen
Acer,Aspire A515-51G,Notebook,"15.6""",Full HD 1920x1080,4GB,500GB HDD,Windows,10,2.2,639.0,Intel,2.7,Core i7 7500U ,Nvidia,GeForce 940MX,Not Touchscreen
HP,15-bs190od (i5-8250U/4GB/1TB/W10),Notebook,"15.6""",Touchscreen 1366x768,4GB,1TB HDD,Windows,10,2.04,521.47,Intel,1.6,Core i5 8250U ,Intel,UHD Graphics 620,Touchscreen
Lenovo,IdeaPad 320-15IKB,Notebook,"15.6""",Full HD 1920x1080,4GB,1TB HDD,Windows,10,2.2,799.0,Intel,2.7,Core i7 7500U ,Nvidia,GeForce 920MX,Not Touchscreen
Dell,Inspiron 3567,Notebook,"15.6""",Full HD 1920x1080,4GB,500GB HDD,Windows,10,2.3,585.0,Intel,2.5,Core i5 7200U ,AMD,Radeon R5 M430,Not Touchscreen
Mediacom,SmartBook Edge,Notebook,"14.0""",IPS Panel Full HD 1920x1080,4GB,32GB SSD,Windows,10,1.45,389.0,Intel,1.1,Celeron Quad Core N3450 ,Intel,HD Graphics 500,Not Touchscreen
Dell,Latitude 3480,Notebook,"14.0""",1366x768,4GB,500GB HDD,Windows,10,1.76,755.0,Intel,2.3,Core i5 6200U ,Intel,HD Graphics 520,Not Touchscreen
Toshiba,Tecra X40-D-10Z,Ultrabook,"14.0""",1366x768,4GB,128GB SSD,Windows,10,1.25,1090.0,Intel,2.5,Core i5 7200U ,Intel,HD Graphics 620,Not Touchscreen
Dell,Latitude E5270,Ultrabook,"12.5""",1366x768,4GB,500GB HDD,Windows,7,1.5,1135.15,Intel,2.3,Core i3 6100U ,Intel,HD Graphics 520,Not Touchscreen
Dell,Latitude E5270,Ultrabook,"12.5""",1366x768,4GB,128GB SSD,Windows,7,1.5,1166.97,Intel,2.3,Core i3 6100U ,Intel,HD Graphics 520,Not Touchscreen
Lenovo,Yoga 500-15ISK,2 in 1 Convertible,"15.6""",IPS Panel Full HD / Touchscreen 1920x1080,4GB,256GB SSD,Windows,10,2.1,867.0,Intel,2.3,Core i5 6200U ,Intel,HD Graphics 520,Touchscreen
HP,15-bw011nv (A6-9220/4GB/1TB/FHD/W10),Notebook,"15.6""",Full HD 1920x1080,4GB,1TB HDD,Windows,10,2.1,398.0,AMD,2.5,A6-Series 9220 ,AMD,Radeon R4,Not Touchscreen
Dell,Vostro 3559,Notebook,"15.6""",1366x768,4GB,500GB HDD,Windows,7,2.24,769.15,Intel,2.3,Core i5 6200U ,AMD,Radeon R5 M315,Not Touchscreen
HP,250 G5,Notebook,"15.6""",1366x768,4GB,1TB HDD,Windows,10,1.96,500.0,Intel,1.6,Pentium Quad Core N3710 ,Intel,HD Graphics 405,Not Touchscreen
Lenovo,V110-15ISK (i3-6006U/4GB/128GB/W10),Notebook,"15.6""",1366x768,4GB,128GB SSD,Windows,10,2.1,429.0,Intel,2.0,Core i3 6006U ,Intel,HD Graphics 520,Not Touchscreen
Vero,V131 (X5-Z8350/4GB/32GB/FHD/W10),Notebook,"13.3""",Full HD 1920x1080,4GB,32GB Flash Storage,Windows,10,1.35,196.0,Intel,1.44,Atom X5-Z8350 ,Intel,HD Graphics 400,Not Touchscreen
Asus,VivoBook Max,Notebook,"15.6""",1366x768,4GB,1TB HDD,Windows,10,2.0,435.0,Intel,2.4,Core i3 7100U ,Intel,HD Graphics 620,Not Touchscreen
Lenovo,Yoga Book,2 in 1 Convertible,"10.1""",IPS Panel Touchscreen 1920x1200,4GB,64GB Flash Storage,Windows,10,0.69,479.0,Intel,1.44,Atom x5-Z8550 ,Intel,HD Graphics 400,Touchscreen
Asus,L403NA-GA013TS (N3350/4GB/32GB/W10),Notebook,"14.0""",1366x768,4GB,32GB Flash Storage,Windows,10,1.5,278.0,Intel,1.1,Celeron Dual Core N3350 ,Intel,HD Graphics 500,Not Touchscreen
Acer,Aspire E5-576G,Notebook,"15.6""",Full HD 1920x1080,4GB,1TB HDD,Windows,10,2.23,616.0,Intel,2.5,Core i5 7200U ,Nvidia,GeForce 940MX,Not Touchscreen
HP,Elitebook 820,Netbook,"12.5""",1366x768,4GB,128GB SSD,Windows,7,2.4,1599.0,Intel,2.3,Core i5 6200U ,Intel,HD Graphics 520,Not Touchscreen
Dell,Inspiron 5370,Ultrabook,"13.3""",IPS Panel Full HD 1920x1080,4GB,256GB SSD,Windows,10,1.4,818.35,Intel,1.6,Core i5 8250U ,AMD,Radeon 530,Not Touchscreen
HP,ProBook 450,Notebook,"15.6""",1366x768,4GB,256GB SSD,Windows,10,2.04,979.0,Intel,2.5,Core i5 7200U ,Intel,HD Graphics 620,Not Touchscreen
HP,ProBook 650,Notebook,"15.6""",1366x768,4GB,500GB HDD,Windows,10,2.31,705.15,Intel,2.3,Core i3 6100U ,Intel,HD Graphics 520,Not Touchscreen
Dell,Inspiron 3567,Notebook,"15.6""",Full HD 1920x1080,4GB,1TB HDD,Windows,10,2.25,559.0,Intel,2.5,Core i5 7200U ,Intel,HD Graphics,Not Touchscreen
Dell,Latitude 3570,Notebook,"15.6""",1366x768,4GB,500GB HDD,Windows,10,2.06,481.98,Intel,2.3,Core i3 6100U ,Intel,HD Graphics 520,Not Touchscreen
HP,ProBook 650,Notebook,"15.6""",1366x768,4GB,500GB HDD,Windows,10,2.31,1199.0,Intel,2.3,Core i5 6200U ,Intel,HD Graphics 520,Not Touchscreen
Lenovo,Ideapad 700-15ISK,Notebook,"15.6""",IPS Panel Full HD 1920x1080,4GB,1TB HDD,Windows,10,2.3,977.0,Intel,2.3,Core i5 6300HQ ,Nvidia,GeForce GTX 950M,Not Touchscreen
Lenovo,V110-15ISK (i5-6200U/4GB/500GB/W10),Notebook,"15.6""",1366x768,4GB,500GB HDD,Windows,10,2.1,540.0,Intel,2.3,Core i5 6200U ,Intel,HD Graphics 520,Not Touchscreen
HP,Probook 650,Notebook,"15.6""",Full HD 1920x1080,4GB,500GB HDD,Windows,7,2.31,940.0,Intel,2.3,Core i5 6200U ,Intel,HD Graphics 520,Not Touchscreen
Lenovo,Yoga Book,2 in 1 Convertible,"10.1""",IPS Panel Touchscreen 1920x1200,4GB,64GB Flash Storage,Windows,10,0.69,646.27,Intel,1.44,Atom x5-Z8550 ,Intel,HD Graphics 400,Touchscreen
HP,EliteBook 840,Notebook,"14.0""",Full HD 1920x1080,4GB,500GB HDD,Windows,7,1.54,1030.99,Intel,2.3,Core i5 6200U ,Intel,HD Graphics 520,Not Touchscreen
Acer,Aspire ES1-523,Notebook,"15.6""",1366x768,4GB,500GB HDD,Windows,10,2.4,387.0,AMD,2.2,A8-Series 7410 ,AMD,Radeon R5,Not Touchscreen
HP,EliteBook 840,Notebook,"14.0""",Full HD 1920x1080,4GB,500GB HDD,Windows,10,1.54,1000.0,Intel,2.3,Core i5 6200U ,Intel,HD Graphics 520,Not Touchscreen
HP,15-BA015wm (E2-7110/4GB/500GB/W10),Notebook,"15.6""",1366x768,4GB,500GB HDD,Windows,10,1.86,297.0,AMD,1.8,E-Series 7110 ,AMD,Radeon R2 Graphics,Not Touchscreen
Dell,Vostro 3559,Notebook,"15.6""",1366x768,4GB,500GB HDD,Windows,7,2.24,737.0,Intel,2.3,Core i5 6200U ,Intel,HD Graphics 520,Not Touchscreen
HP,EliteBook 840,Notebook,"14.0""",Full HD 1920x1080,4GB,256GB SSD,Windows,7,1.54,1099.99,Intel,2.3,Core i5 6200U ,Intel,HD Graphics 520,Not Touchscreen
